Division,AP Address,COORDINATES,Property type,Property detail/name,Additional AP Details,Status,Active,In Laser zone?,Date est. as AP in database,Time Period as AP,Same as prev. yr?,Date of document,Alleged activity,Calls for service,% of Divsion Total CFS,Alleged Violent Crime during TP,Division VC Total,% of Division Total Alleged VC,SLO,Police Activity,RD,Basic Car #,Side (of street),Arc_Zone,Additional info. provided,Additional notes ,Additional notes ,Source-Doc title,Additional Source,Additional Source,Additional Source
Hollywood,6801 HOLLYWOOD BL,"34.111370,-118.336250",Public,METRO STATION,Score: 75,M,1,need to check to see if in laser zone or not ,2/21/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,1708 LAS PALMAS,"34.102770,-118.335750",Business,RUSTY MULLET,Score: 38,M,1,need to check to see if in laser zone or not ,2/22/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,6384 HOLLYWOOD BL,"34.101560,-118.329250",Business,POPEYES,Score: 75,T,1,need to check to see if in laser zone or not ,2/23/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,6506 HOLLYWOOD BL,"34.10160179193807, -118.33107862303329",Business,PLAYHOUSE,Score: 75,T,1,need to check to see if in laser zone or not ,2/24/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollywood,5450 HOLLYWOOD BL,"34.10151501266558, -118.3086116304567",Public,METRO STATION,Score: 75,T,1,need to check to see if in laser zone or not ,2/25/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,6,Located in area 6,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,CRENSHAW & ADAMS,"34.032429460328174, -118.33468268070762",Business,Mobil Mart Gas Station,Score: 70,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,CRENSHAW & JEFFERSON,"34.02572506152522, -118.3352215439487",Intersection,,Score: 70,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,BUS BENCH AND PARKING LOT,,,,,,,,0,,,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,3849 GIBRALTAR,"34.01675869491181, -118.35508573045855",Residential,Multi-family apartment,Score: 55,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,3602 LA BREA,"34.02118335676787, -118.35510853045852",Business,Mc Donalds / Shopping Center,Score: 75,M,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Southwest,4501 W. MARTIN LUTHER KING JR. BLVD,"34.018159609798275, -118.34595577278535",Business,Shopping Center,Score: 75,T,1,need to check to see if in laser zone or not ,7/5/2018,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,3,Area 3,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,967 S. Lorena St.,"34.025982353672525, -118.20240237278512",Residential,Property,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,3225 Union Pacific Ave,"34.01689783793933, -118.21009008813168",Business,House of Godz,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,5388 Poplar Blvd,"34.08963353975735, -118.16395857278397",Residential ,Apartment,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,State St & Marengo St,"34.057793714952965, -118.21020383045776",Intersection,USC Hospital,Score: 70,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,2650 E Olympic Bl,"34.02454392043906, -118.22109435929492",Business,Sears,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Hollenbeck,1519 Pleasant Ave,"34.04911465439625, -118.22112567278474",,Primera Flats,Score: 75,T,1,need to check to see if in laser zone or not ,8/1/2017,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,4,Area 4,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Olympic,334 S. VERMONT AVE,"34.06788639319928, -118.29074667278431",Business,RITE AID,Score: 75,T,1,need to check to see if in laser zone or not ,7/5/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,20,Area 20,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Olympic,341 S. VERMONT AVE,"34.06815336836708, -118.2919006439478",Business,MCDONALDS,Score: 75,T,1,need to check to see if in laser zone or not ,7/5/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,20,Area 20,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Olympic,3201 W. 6TH ST,"34.064366189877106, -118.29204703045752",Business,WALGREENS,Score: 75,M,1,need to check to see if in laser zone or not ,7/5/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,20,Area 22,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Olympic,695 S. WESTERN AVE,"34.05991973897089, -118.3095183727846",Business,MCDONALDS,Score: 75,M,1,need to check to see if in laser zone or not ,7/5/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,7,Area 23,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Olympic,3751 WILSHIRE BLVD,"34.061985740053686, -118.30811210162099",Business,CVS,Score: 75,M,1,need to check to see if in laser zone or not ,7/5/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,R,7,Area 24,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Central,E. 5th St & S. San Pedro St,"34.04417392069611, -118.24391718813108",Intersection,SEC 'Cubano Corner',Score: 82,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,1,Area 1,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Central,E. 6th St & San Julian St,"34.04280223000159, -118.24618310162124",Intersection,Rear of Midnight Mission,Score: 82,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,1,Area 1,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Central,6TH St & Gladys Av,"34.040259928669734, -118.24209797278495",Intersection,Gladys Park,Score: 70,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,1,Area 1,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Central,449 S Broadway,"34.04841476435434, -118.25084673045777",Business,Fallas Paredes Discount Stores,,,,,5/18,,,,,,,,,,,,,,,,,,,,,,
Central,7th & Broadway,"34.04578557535559, -118.252787144198",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,5th & Spring,"34.047360326006384, -118.24960434519596",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,451 S. Main,"34.04697423136272, -118.24854627389416",Residential,Rosyln Lofts ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,7th & Maple,"34.04247405274264, -118.24927607835247",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,7th & Julian,"34.04110801941133, -118.24749523231404",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,112 W. 5th St,"34.04665032173382, -118.24886051511174",Residential,Rosslyn Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,6th & Los Angeles,"34.04459677145155, -118.24904290533318",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central,7th & Main,"34.043923190602456, -118.25146017464067",Intersection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,1600 N. Vermont,"34.099975059974625, -118.29137265929351",Business,retail shopping center,,,,need to check to see if in laser zone or not ,,,Unknown,2018,"thefts, transient encampments",,,,,,O. Preciado,,1151,Basic car A51,,,,,,anchor points 2018 red.pdf,,,
Northeast,1300/1400 Block of Liberty St.,"34.07859944353476, -118.26158757294532",Intersection,"commercial, residential, churches",,,,need to check to see if in laser zone or not ,,,Unknown,2018,"transient encampments, narco",,,,,,L. Davis,,1181,Basic car  A71,,,,,,anchor points 2018 red.pdf,,,
Northeast,1700 Block of Alvarado St.,"34.085628447237134, -118.25846979094264",Intersection,"commercial, recycling centers",,,,need to check to see if in laser zone or not ,,,Unknown,2018,"transients, narco",,,,,,G. Paialii,,1183,Basic car A95,,,,,,anchor points 2018 red.pdf,,,
Northeast,Griffith Park,"34.13347286583615, -118.29266577799206",Public,"park, zoo, museum, observatory",,,,need to check to see if in laser zone or not ,,,Unknown,2018,"BFMW, theft",,,,,,O. Lowe,,1101,Basic car  A01,,,,,,anchor points 2018 red.pdf,,,
Northeast,Idell St. & N. Ave. 26,"34.08604120762876, -118.2248229594715",Intersection,"commercial, residential ",,,,need to check to see if in laser zone or not ,,,Unknown,2018,narco,,,,,,L. Reyes,,1177,Basic car A89,,,,,,anchor points 2018 red.pdf,,,
Northeast,1400 Block of N. Ave. 56,"34.12280823540626, -118.19648453045642",Residential,,,,,need to check to see if in laser zone or not ,,,Unknown,2018,gang activity,,,,,,L. Chang,,1107,Basic car A25,,,,,,anchor points 2018 red.pdf,,,
Northeast, 5700 N. Figueroa St.,"34.10954813123188, -118.19257859184147",Business,"commercial (CHASE), residential",,,,need to check to see if in laser zone or not ,,,Unknown,2018,"gang activity, shootings",,,,,,M. Allen,,1118,Basic car A37,,,,,,anchor points 2018 red.pdf,,,
Northeast,8 Eagle Rock Blvd. & Yosmite Dr.,"34.1350971197109, -118.21529300347552",Intersection,shopping center,,,,need to check to see if in laser zone or not ,,,Unknown,2018,"thefts, narco, transients",,,,,,F. Ochoa,,1115,Basic car  A19,,,,,,anchor points 2018 red.pdf,,,
Northeast,4633 Santa Monica,"34.09183614264561, -118.2904172378758",Business,Rite Aid,Score:55,M,1,need to check to see if in laser zone or not ,8/1/2017,,Unknown,08/2018,Blank,,,,,,,,0,Blank,R,20,Area 11,Data from this document seems to have been culled from a database & some columns not filled in ,coordinates also provided,LASER_AP_082018.dbf.pdf,,,
Northeast,1269 N Vermont,"34.095071295953964, -118.29221477463963",Residential,Homeless encampment,Score:81,T,1,need to check to see if in laser zone or not ,8/1/2017,,Unknown,08/2018,Blank,,,,,,,,0,Blank,L,11,Area 11,Data from this document seems to have been culled from a database & some columns not filled in ,coordinates also provided,LASER_AP_082018.dbf.pdf,,,
Northeast,1601 N Vermont,"34.10061767787387, -118.29151216164837",Business,"Shopping Center, Jons, Rite-Aid, Fatburger",Score:81,T,1,need to check to see if in laser zone or not ,8/1/2017,,Unknown,08/2018,Blank,,,,,,,,0,Blank,L,11,Area 11,Data from this document seems to have been culled from a database & some columns not filled in ,coordinates also provided,LASER_AP_082018.dbf.pdf,,,
Northeast,N Vermont Ave & Santa Monica Bl,"34.090829170095844, -118.29175007278391",Intersection,"Metro Subway Station, Bus Stops, Shopping Center",Score: 100,M,1,need to check to see if in laser zone or not ,8/1/2017,,Unknown,08/2018,Blank,,,,,,,,0,Blank,Blank,11,Area 11,Data from this document seems to have been culled from a database & some columns not filled in ,coordinates also provided,LASER_AP_082018.dbf.pdf,,,
Northeast,1300 N Vermont Ave,"34.095684626098446, -118.29038717278381",Public,"Queens Care Clinic, Hospital ",Score: 100,T,1,need to check to see if in laser zone or not ,8/1/2017,,Unknown,08/2018,Blank,,,,,,,,0,Blank,R,11,Area 11,Data from this document seems to have been culled from a database & some columns not filled in ,coordinates also provided,LASER_AP_082018.dbf.pdf,,,
Northwest,47th St & Broadway,"34.00102150262307, -118.27836093045879",Business,Tam's Burgers,Score: 76,T,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,13,Area 13,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Northwest,345 East 51st Street,"33.99732756545793, -118.26822005743958",Public,South Park,Score: 100,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,13,Area 13,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Northwest,3804 S. Broadway,"34.012694120962024, -118.2759267151125",,Volunteers of America,Score: 100,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,13,Area 13,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Northwest,16th Street and San Pedro St,"34.029843123214036, -118.25600273045832",Intersection,,Score: 76,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,,13,Area 13,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Northwest,4300 S. Central Ave,"34.0051222815356, -118.2555662709298",Shopping Center,DD's Discount / Dollar Tree,Score: 100,T,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,0,,L,13,Area 13,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Wilshire,7850 MELROSE AVE,"34.081636617288055, -118.35999804580341",School,FAIRFAX HIGH SCHOOL,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,702,,L,6,Area 7,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Wilshire,7353 MELROSE AVE,"34.083754536539935, -118.35012274394744",Business,7-Eleven / Subway,Score: 75,M,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,702,,R,6,Area 7,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Wilshire,4836 W. WASHINGTON BLVD,"34.039356675807355, -118.3448862862753",Residential,LONGWOOD MANOR,Score: 75,T,1,need to check to see if in laser zone or not ,8/1/17,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,785,,L,7,Area 7,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Topanga,6600 Topanga Canyon Bl,"34.19089495686281, -118.60425613045497",Business,Westfield Topanga & The Village,Score: 100,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,2156,,R,10,Area 21,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Topanga,6100 Canoga Av,"34.18122547359074, -118.59564238627239",Business,Fry's Electronics,Score: 100,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,2158,,R,10,Area 21,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Topanga,6700 Topanga Canyon Bl,"34.1915918101366, -118.60258177278195",Business,Target,Score: 100,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,2156,,R,10,Area 21,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Topanga,21900 Vanowen St,"34.19169143366848, -118.6036765727819",Business,Macys,Score: 100,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,2156,,L,10,Area 21,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
Topanga,21021 Erwin St,"34.18355819989326, -118.5909278709261",Residential,Motif Apartments,Score: 100,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,2158,,R,10,Area 21,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
North Hollywood,5300 Lankershim,"34.16746496432709, -118.37560643045532",,Shopping Center / Red Line and Orange Line,Score:81,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,1548,,R,15,Area 15,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
North Hollywood,6021 Lankershim,"34.18002810485866, -118.38448234580143",Residential,Pepper Tree Motel,Score:81,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,1526,,L,15,Area 15,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
North Hollywood,11201 Ventura,"34.14242804327684, -118.37427190161945",Business,Marshalls,Score:81,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,1585,,R,15,Area 15,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
North Hollywood,Fulton & Ramer,,,RR Tracks and Green Zone,Score:68,M,1,need to check to see if in laser zone or not ,8/20/18,,,08/2018,"""Problem"" Column provided but blank",,,,,,,,1511,,,15,Area 15,coordinates also provided,Data from this document seems to have been culled from a database & some columns not filled in ,LASER_AP_082018.dbf.pdf,,,
